029,029,6,40,9,8,0,1,1,1
018,018,1,23,38,13,1,0,1,1
002,026,0,50,39,40,0,0,0,0
035,048,0,51,50,68,0,0,0,0
057,057,5,51,15,8,0,1,1,1
029,021,1,48,46,63,0,0,0,0
036,000,1,40,54,69,0,0,0,0
005,005,7,55,5,36,0,1,0,1
031,010,6,48,54,37,0,0,0,0
019,035,5,42,43,59,0,0,0,0
056,056,0,4,63,23,1,0,1,1
050,050,6,42,7,33,0,1,0,1
021,021,5,40,7,17,0,1,1,1
011,035,1,44,59,56,0,0,0,0
020,020,7,45,6,14,0,1,1,1
024,048,7,57,54,81,0,0,0,0
022,022,7,59,7,28,0,1,1,1
007,028,1,38,53,55,0,0,0,0
063,063,0,10,33,22,1,0,1,1
057,057,1,14,43,4,1,0,1,1
025,061,5,47,54,37,0,0,0,0
037,002,3,55,55,49,0,0,0,0
003,003,7,51,7,14,0,1,1,1
057,057,4,9,52,9,1,0,1,1
046,046,5,44,9,6,0,1,1,1
003,043,4,59,46,65,0,0,0,0
012,012,1,11,38,19,1,0,1,1
053,032,4,48,38,44,0,0,0,0
039,029,4,51,54,59,0,0,0,0
021,021,2,20,47,32,1,0,0,1
048,048,5,53,10,17,0,1,1,1
044,044,5,42,6,9,0,1,1,1
032,003,3,43,51,68,0,0,0,0
059,060,3,53,53,19,0,0,1,0
021,021,4,8,47,11,1,0,1,1
018,018,6,61,7,36,0,1,0,1
034,060,2,40,51,45,0,0,0,0
022,022,2,24,39,19,1,0,1,1
035,040,3,52,54,53,0,0,0,0
044,007,1,56,51,55,0,0,0,0
025,024,4,54,60,32,0,0,0,0
063,063,6,48,7,15,0,1,1,1
037,035,0,44,50,34,0,0,0,0
062,062,6,53,15,72,0,1,0,1
059,059,7,47,6,9,0,1,1,1
037,037,6,36,5,7,0,1,1,1
012,012,5,45,3,14,0,1,1,1
011,011,1,25,58,16,1,0,1,1
027,013,1,51,62,74,0,0,0,0
055,055,4,13,51,9,1,0,1,1
038,025,3,47,49,51,0,0,0,0
059,008,3,49,46,53,0,0,0,0
059,059,0,5,44,29,1,0,1,1
016,016,6,44,9,39,0,1,0,1
002,062,6,52,54,59,0,0,0,0
027,027,5,50,9,18,0,1,1,1
050,050,1,26,45,33,1,0,0,1
001,001,5,48,11,6,0,1,1,1
000,000,1,16,42,6,1,0,1,1
043,043,1,20,36,33,1,0,0,1
014,014,6,47,13,34,0,1,0,1
018,018,7,61,8,32,0,1,0,1
010,017,5,52,64,63,0,0,0,0
031,044,1,39,55,27,0,0,1,0
028,028,0,7,59,36,1,0,0,1
049,049,1,14,46,18,1,0,1,1
055,055,4,18,51,10,1,0,1,1
025,025,7,40,7,22,0,1,1,1
000,000,6,38,19,50,0,1,0,1
025,046,6,46,46,36,0,0,0,0
020,020,5,45,7,34,0,1,0,1
058,008,3,44,50,48,0,0,0,0
010,010,5,48,5,27,0,1,1,1
002,002,7,38,11,22,0,1,1,1
013,043,2,53,45,87,0,0,0,0
047,047,2,31,48,24,0,0,1,1
014,014,1,13,49,18,1,0,1,1
063,004,0,52,50,40,0,0,0,0
057,057,3,56,15,28,0,1,1,1
